"","(Intercept)","Direction","scale_Curvature","scale_Elevation","scale_RoadsProximity","scale_Ruggedness","scale_Slope","Vegetation","df","logLik","AICc","delta","weight"
"m7",-3.66988845102949,"+",NA,0.777002848083474,NA,0.144451049499407,-1.41910785486111,"+",21,-2057.22230617677,4156.56316508641,0,0.616849177419966
"m2",-3.67354789445608,"+",NA,0.778667283197931,-0.0236427256673854,0.144362502113202,-1.41204014098545,"+",22,-2057.0898075118,4158.30947515449,1.74631006808522,0.257615848226679
"m1",-3.6815962055782,"+",0.0625343025648006,0.778550757052986,-0.0241541366346251,0.139265036355694,-1.41352374816192,"+",23,-2056.81357156134,4159.76882690092,3.2056618145125,0.124187639267813
"m8",-3.83291888586965,"+",NA,0.783292388486189,-0.0245312468380805,NA,-1.38327280766716,"+",21,-2063.34893066946,4168.81641407178,12.2532489853775,0.00134716186373922
"m10",-3.63024471143599,NA,NA,0.774992994363844,NA,NA,-1.36020757465338,"+",13,-2080.96025863997,4187.96717198387,31.4040068974655,9.35159171057316e-08
"m5",-3.63656692627432,NA,0.107148518064009,0.774204975628483,NA,NA,-1.36517140674472,"+",14,-2080.11645460431,4188.28674845999,31.7235833735849,7.97058848169448e-08
"m11",-3.70813282653339,NA,NA,NA,NA,0.168479260271082,-0.962706963806196,"+",13,-2170.65636562524,4367.3593859544,210.796220867995,1.03839174140756e-46
"m3",-3.70609340427182,NA,NA,NA,0.00748395562814466,0.168583912259432,-0.964838058240331,"+",14,-2170.64260016121,4369.3390395738,212.775874487397,3.85908997164018e-47
"m9",-3.76824128276726,NA,0.115872775119966,NA,0.00268075571342406,NA,-0.909686693017105,"+",14,-2180.47456225348,4389.00296375835,232.43979867194,2.07261206044359e-51
"m6",-3.76111705504704,NA,NA,NA,0.00332820228735466,NA,-0.904985683628451,"+",13,-2181.51568715902,4389.07802902196,232.514863935551,1.99626322398434e-51
"m4",-2.77892096030241,"+",NA,0.334230724860892,-0.196771836056026,0.0848361154733693,NA,"+",21,-2233.03350716658,4508.18556706603,351.622401979622,2.73114364961596e-77
"m12",-2.87344912928399,"+",NA,0.340870761217988,-0.195400352663609,NA,NA,"+",20,-2234.8295630436,4509.7668874727,353.203722386291,1.23869726846566e-77
